magnetic resonance imaging (MRI);A special technique used to image internal structures of the body, particularly soft tissues. Images are very clear and often more useful than X-rays.
Markownikoff's Rule;"The negative part of the addendum adds to the less hydrogenated carbon atom.(Cave questions expecting stability of primary and secondary carbocations!)"
microbe;A microscopic living thing such as bacteria, fungi and protoctista.
mole;The unit of amount of substance. One mole is that amount of substance which contains as many specified elementary particles are there are atoms in 0.012 Kg of the isotope 126C.
molecular formula;is a multiple of the empirical formula giving the number of atoms of each type in a molecule.
Molecularity;The number of particles participating in an elementary reaction
neuro-transmitter;A substance which acts as a messenger at synapses between neurones (the nerve cells which bring about actions/responses). Neurotransmitters are released at the ends of neurones, diffusing between adjacent cells.
Neurotransmitter;A chemical that conveys or inhibits nerve impulses between one nerve and another at a synapse in the brain. Illnesses such as depression or schizophrenia cause disturbance of the levels of these chemicals.
normal flora;The flora (or plant life) that grow quite normally and harmlessly on the body.
nuclear magnetic resonance (NMR);A form of spectrometry using the precise absorption of electro magnetic radiation by a nucleus with nonzero magnetic moment in an external magnetic field.  Such nuclei have 'spin' and consequently behave as small magnets.  For hydrogen there are two possible quantum states 'spin up' and 'spin down', each with a slightly different energy.  A transition of states from spin up to spin down results in a small change of energy state and the emission of a photon in the radio band of the e-m spectrum.  This technique has been extended to the field of medicine where in magnetic resonance imaging (MRI) images of tissues are formed.
nucleophile;"molecule or ion with an unbonded pair of electrons with which it can form a new covalent bond; attracted to a positive centre"
opium;
optical isomers;compounds with the same molecular formula but with different arrangements of the atoms in space due to a chiral centre
Order;The power to which to the concentration of a species in the experimental rate equation is raised
organ transplant;An operation in which a person's damaged or diseased organ is replaced with a healthy organ from another person (donor). Kidneys, hearts, lungs and livers have all been successfully transplanted.
Overall Order;The sum of the power to which each concentration is raised in the experimental rate equation
Oxidation states, rules for assigning;"1. Uncombined elements have an oxidation state of zeroIn compounds:-2. Fluorine has an oxidation state of -13. Oxygen has an oxidation state of -2 except in peroxides4. Hydrogen is +1 usually (but in ionic hydrides it is -1)5. The sum of the oxidation states in a compound is zero6. No oxidation state may be more than the group number."
Painkillers;Painkillers take away pain, as the name suggests. They stop people reacting to physical pain or emotional worries. Heroin is a painkiller.
pathogen;A disease producing organism.
Pauli exclusion principle;"no two electrons may have the same set of four quantum numbersNo orbital can contain more than two electrons"
penicillin;A well-known and commonly used antibiotic which has also been modified to produce other antibiotics. It is derived from the mould Penicillium notatum. It stops the growth of cell walls in bacteria, preventing the increase in population.
Periodic Law;The physical and chemical properties of the elements are in periodic dependence upon their atomic numbers.
peristalsis;The wave like movement caused by two sets of antagonistic muscles in tube like structures. In the gut, circular and longitudinal muscles bring about peristalsis by alternately contracting and relaxing in turn producing a wave action along the gut. This is similar to muscular action in animals such as Earthworms.
pH;"(source: literally 'potential of Hydrogen')pH = - log10[H3O+]/moldm-3(you need to supply units, because you can only take a logarithm of a number)"
pi bond;a molecular orbital consisting of regions of electron density above and below the line of centres between a pair of bonded atoms.
proteins;A family of long chain molecule based on carbon (and containing nitrogen and sulphur) that are part of all living things.
proton;A sub-atomic elementary particle, with unit positive charge and unit mass, expressed in relative atomic mass units (The actual mass is approximately 1.66 x 10-24 g).
Protozoa;A diverse group of single-celled microscopic living things. This group is now classed within the Protoctista.
radical;an excited atom or molecule with an unpaired electron
radiotherapy;The treatment of disease by ionising radiation, most commonly used in the treatment of cancer.
rate constant;The constant of proportionality in the experimental rate equation relating the rate to the concentration of the species raised to their appropriate orders
reforming;the rearrangement of the carbon chains of compounds, using elevated temperarures and pressures, and catalysts, to give molecules containing branches or rings
relative atomic mass;The ratio of the average mass per atom of an element relative to 1/12 the mass of an atom of 126C.
relative molecular mass;The sum of the relative atomic masses of the elements in a compound (or defined similarly to RAM: both are now obsolete).
reversible reaction;"a reaction which can be made to proceed either forwards or backwards under suitable conditions; a reaction in which both products and reactants are present at equilibrium"
ribose nucleic acid (RNA);The chemical that translates the genetic code of DNA into proteins that make up the body.
saturated hydrocarbon;a hydrocarbon containing no carbon-carbon multiple bonds
saturated solution;"a solution in which no more solute can dissolve without causing precipitation;  a solution in whcih the ionic product equals the solubility product"
Sedatives;Sedatives are drugs that slow down the nervous system. Alcohol is a sedative. Sedatives make people feel less anxious and more relaxed. But they also slow down physical reactions, and cause sleepiness or unconsciousness. A mixture of sedatives is dangerous because vital processes like the heartbeat get slower too. Sedatives may be addictive.
sigma bond;"a molecular orbital of low energy whose region of electron density lies along the line of centres between a pair of bonded atoms"
spectrometry;"Techniques that measure the frequencies absorbed by a substance across a band of the e/m spectrum.  A spectrum of absorptions can be used to assist the determination of molecular structure. Different techniques use different areas of the electromagnetic spectrum (e.g. visible, UV, IR).  Also termed spectroscopy."
spores;Tiny reproductive cell produced by plants that don't have proper flowers or produce normal seeds.
standard cell potential;"is the difference between the standard electrode potentials of the right-hand and left-hand electrodes in a specified cell at a stated  temperature; = VR  -  VL"
Standard Conditions;Standard pressure is 101325 Pa.  There has been no internationally agreed standard of temperature, so this must always be stated.  Commonly it is 273.15 K or 298 K.  Definitions involving standard must include reference to the standard of pressure.  Other enthalpy change definitions follow the pattern of the two above.
standard electrode potential;"is the value of the standard emf of a cell in which molecular hydrogen is oxidised to solvated protons at the left hand electrode at a stated temperature [Note: standard conditions as above, with concentration of solvated protons being 1 moldm-3]"
Standard Enthalpy Change of Formation;The energy change at constant pressure for the formation of 1 mol of a compound from its constituent elements in their standard states (stable forms at 101 325 Pa and a stated temperature)
stereochemical formula;shows the distribution in space of the atoms of a molecule
stereoisomers;compounds with the same structural formula but with a different arrangement of the atoms in space
Stimulants;Stimulants are drugs that speed up the body’s reactions, making people feel more alert and less tired. Caffeine is a stimulant. But taken in high doses stimulants cause nervous anxiety and paranoia (being convinced the world is against you).
structural formula;"shows the sequence in which the atoms in a molecule are linked; it may be written as a linear formula or as a displayed formula"
structural isomers;compounds with the same molecular formula but with different structural formulae
substitution;a reaction in which one atom or group of atoms is exchanged for another
substitution reaction;a reaction in which one atom or group of atoms is exchanged for another atom or group of atoms
surgery;Any treatment that involves some sort of physical intervention - either rejoining broken bones or cutting out diseased tissue.
synapse;A connection between excitable cells such as nerve cells.
transition element;a d-block element forming one or more stable ions which have incompletely filled d-orbitals
trepanning;An ancient example of surgery where a hole was drilled into the skull, supposedly to let out evil spirits.
ultrasound;An imaging technique which uses high frequency sound waves. This is believed to be non-damaging and is used to view the developing fetus in the womb.
ultraviolet-visible spectroscopy;A technique that measures the frequencies of UV and visible light absorbed by a substance across the UV-vis spectrum (approximately 3x1014 to 3x1016 Hz).  The spectrum of absorptions can be used to assist the determination of molecular structure using the molecule's characteristic natural vibrational frequencies.
unsaturated hyrdocarbon;a hydrocarbon containing one or more carbon-carbon multiple bonds
vaccine;A preparation of micro-organisms which are dead or made harmless, which is given to an animal to bring about the immune response and give protection from future infection
virus;A tiny microbe, measuring only 0.00002 to 0.00003 mm, that can cause infections, eg flu, warts, measles. A virus is not a complete cell but consists only of a protein coat surrounding genetic material. Viruses multiply inside other cells, usually killing them.
X-ray;X-rays are part of the electromagnetic spectrum with a much shorter wavelength than light. They travel through the body's tissues. However, they are absorbed differently by different tissues and bones. So they leave a shadow on photographic film that shows internal growths or broken bones.
